product_id,url,scraped_at,name_kr,name_en,price_krw,price_eur,price_eur_markup,category_kr,category_en,specifications,images,image_count,model_number,manufacturer,category_main_kr,category_main_en,category_sub_kr,category_sub_en,category_subsub_kr,category_subsub_en
1002,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1002,2025-10-26T20:48:26.073673,[중고] QD75D4 Q시리즈 Mitsubishi Q-PLC MELSEC Q 피엘씨 미쓰비시피엘씨 자동화부품 공장자동화 미쯔비시PLC,[Used] QD75D4 Q Series Mitsubishi Q-PLC MELSEC Q PLC Mitsubishi PLC Automation Parts Factory Automation Mitsubishi PLC,143000.0,85.51,128.27,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""MITSUBISHI"": ""PLC"", ""상태"": ""SERIAL"", ""A급"": ""0808  1개1007  2개1107  1개0605  1개""}","1002_1.jpg,1002_3.jpg,1002_4.jpg,1002_5.jpg",4.0,,,피엘씨,PLC,Mitsubishi MELSEC-Q,Mitsubishi MELSEC-Q,,
1003,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1003,2025-10-26T20:48:36.310688,[중고] QD75P4 Q시리즈 Mitsubishi Q-PLC MELSEC Q 피엘씨 미쓰비시피엘씨 자동화부품 공장자동화 미쯔비시PLC,[Used] QD75P4 Q Series Mitsubishi Q-PLC MELSEC Q PLC Mitsubishi PLC Automation Parts Factory Automation Mitsubishi PLC,143000.0,85.51,128.27,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""MITSUBISHI"": ""PLC"", ""상태"": ""SERIAL"", ""A급"": ""0812  5개0707  1개""}","1003_1.jpg,1003_3.jpg,1003_4.jpg,1003_5.jpg",4.0,,,피엘씨,PLC,Mitsubishi MELSEC-Q,Mitsubishi MELSEC-Q,,
1004,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1004,2025-10-26T20:48:42.486898,[중고] QJ71BR11 Q시리즈 Mitsubishi Q-PLC MELSEC Q 피엘씨 미쓰비시피엘씨 자동화부품 공장자동화 미쯔비시PLC,[Used] QJ71BR11 Q Series Mitsubishi Q-PLC MELSEC Q PLC Mitsubishi PLC Automation Parts Factory Automation Mitsubishi PLC,110000.0,65.78,98.67,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""MITSUBISHI"": ""PLC"", ""상태"": ""SERIAL"", ""A급"": ""0505  1개0403  3개0207  2개0206  1개0710  1개""}","1004_1.jpg,1004_2.jpg,1004_3.jpg,1004_4.jpg,1004_5.jpg",5.0,,,피엘씨,PLC,Mitsubishi MELSEC-Q,Mitsubishi MELSEC-Q,,
1009,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1009,2025-10-26T20:48:49.416069,[중고] MR-J2M-40DU 서보 미쓰비시 Mitsubishi Servo 서보앰프 서보드라이버 자동화 산업용부품 자동화부품 servo driver AC서보 400W,[Used] MR-J2M-40DU Servo Mitsubishi Servo Servo Amplifier Servo Driver Automation Industrial Parts Automation Parts servo driver AC Servo 400W,165000.0,98.67,148.0,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""Mitsubishi"": ""Drive unit"", ""사용전압"": ""상태"", ""220V"": ""A""}","1009_1.jpg,1009_3.jpg,1009_4.jpg,1009_5.jpg",4.0,,,서보모터/서보드라이버,Servo motor/servo driver,SERVO DRIVER,SERVO DRIVER,,
1023,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1023,2025-10-26T20:48:59.585054,[중고] RC-003,[Used] RC-003,22000.0,13.16,19.73,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""RORZE"": ""RS-232C CURRENT ADAPTER"", ""-"": ""-""}","1023_1.jpg,1023_3.jpg,1023_4.jpg,1023_5.jpg",4.0,,,스테핑모터/드라이버/BLDC,Stepping motor/driver/BLDC,STEPPING DRIVER,STEPPING DRIVER,RORZE,RORZE
1029,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1029,2025-10-26T20:49:07.648871,[중고] THK (800/500mm) 볼스크류 볼나사 Ballscrew TM스크류 베어링 삼익THK 자동화부품 조각기 3D프린터 제작부품 자작 DIY,[Used] THK (800/500mm) Ball Screw Ball Screw Ballscrew TM Screw Bearing Samick THK Automation Parts Engraver 3D Printer Manufacturing Parts DIY,132000.0,78.94,118.4,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""THK"": ""볼스크류"", ""A:총길이(mm)"": ""B:스크류길이(mm)"", ""800"": ""600""}","1029_1.jpg,1029_3.jpg,1029_4.jpg,1029_5.jpg",4.0,,,볼스크류/스플라인,SPLINE,볼스크류,BALL SCREW,,
1034,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1034,2025-10-26T20:49:15.479454,[중고] SDC10 (C10T0DTA0400) 온도콘트롤러 온도컨트롤러 디지털 인디케이터 인디케이터 indicator,[Used] SDC10 (C10T0DTA0400) Temperature controller Temperature controller digital indicator indicator indicator,20000.0,11.96,17.94,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""YAMATAKE"": ""Digital Indicating \nController"", ""상태"": ""-"", ""A급"": ""-""}","1034_1.jpg,1034_3.jpg,1034_4.jpg,1034_5.jpg",4.0,,,온도컨트롤러/인디게이터,Temperature controller/indicator,,,,
1037,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1037,2025-10-26T20:49:24.745082,[중고] ONE-2N10 온도콘트롤러 온도컨트롤러 디지털 인디케이터 인디케이터 indicator,[Used] ONE-2N10 temperature controller temperature controller digital indicator indicator indicator,20000.0,11.96,17.94,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""SAGLNOMIYA"": ""Digital Indicating \nController"", ""-"": ""-""}","1037_1.jpg,1037_3.jpg,1037_4.jpg,1037_5.jpg",4.0,,,온도컨트롤러/인디게이터,Temperature controller/indicator,,,,
1042,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1042,2025-10-26T20:49:36.600257,[중고] MTCTR 온도콘트롤러 MISUMI 온도컨트롤러 디지털 인디케이터 인디케이터 indicator,[Used] MTCTR temperature controller MISUMI temperature controller digital indicator indicator indicator,25000.0,14.95,22.43,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""MISUMI"": ""Digital Indicating \nController"", ""-"": ""-""}","1042_1.jpg,1042_3.jpg,1042_4.jpg,1042_5.jpg",4.0,,,온도컨트롤러/인디게이터,Temperature controller/indicator,,,,
1043,https://m.shmarket.co.kr/goods/goods_view.php?goodsNo=1043,2025-10-26T20:49:43.231232,[중고] C100FK03-V*DN (REX-C100) 온도콘트롤러 온도컨트롤러 디지털 인디케이터 인디케이터 indicator,[Used] C100FK03-V*DN (REX-C100) Temperature controller Temperature controller digital indicator indicator indicator,20000.0,11.96,17.94,케비넷ICON전체보기테이블블로워(Blower)브랜드 검색COMMUNITY공지사항상품후기상품문의FAQ,Cabinet ICONView AllTable BlowerBrand SearchCOMMUNITYNoticeProduct ReviewProduct InquiryFAQ,"{""MAKER"": ""분류"", ""RKC"": ""Digital Indicating \n Controller"", ""-"": ""-""}","1043_1.jpg,1043_3.jpg,1043_4.jpg,1043_5.jpg",4.0,,,온도컨트롤러/인디게이터,Temperature controller/indicator,,,,
